Att,AtkA,Def,DefA,Spd,SpdA,MHP,MHPA,Type,Name,Description,Location
,,1,2,,2,,,shoes,Ardu Boots,"+1 defense. Ardu: +2 additional defense, +2 speed.",
,,1,,,5,,,shoes,Wings of the Ardu,+1 defense. Ardu: +5 speed.,
2,,,,,,,,weapon,Barbarian’s Axe,+2 attack. +1 additional attack if not wearing armor.,
-1,,,,,,,,weapon,Boxing Gloves,-1 attack. Stuns target.,
1,,,,,,,,weapon,Brass Knuckles,Is that tarnish or old blood? +1 attack.,chest outside of southwest village fence
1,,,,1,,,,weapon,Crude Iron Dagger,"Probably could use some sharpening. +1 attack, +1 speed.",first dungeon chest
2,,,,,,,,weapon,Crude Iron Sword,+2 attack.,raptor forest defeat skeleton at grave
4,,,,2,,,,weapon,Katana,"For those who have been studying the blade. +4 attack, +2 speed.",
2,,,,-1,,,,weapon,Large Wooden Club,"+2 attack, -1 speed.",raptor forest e chest near path
2,,,,1,,,,weapon,Rusty Katana,"Once a fine weapon. +2 attack, +1 speed.",raptor forest nw beach chest
1,,,,,,,,weapon,Small Vampiric Dagger,+1 attack. Heals 1 health after each attack.,wait puzzle in raptor forest
1,,1,,,,,,weapon,Wooden Spear,"+1 attack, +1 defense.",raptor forest chest se of island
-1,,,,,,,,weapon,Lifedrain Staff,-1 attack. Heals 1 health after each attack.,
1,,-2,,,,,,weapon,Vampiric Claws,+1 attack. -2 defense. Heals 1 health after each attack.,
1,,,,,,,,weapon,Paralytic Claws,+1 attack. Stuns target.,
,4,,,,,,,weapon,Ardu’s Brilliance,Stuns target. Ardu: +4 attack.,
3,,,,-1,,,,weapon,Crude Iron Broadsword,"+3 attack, -1 speed.",
